StudentID,StudentPassword,SupervisorID,SupervisorPassword
2013146722,vqa9445!,A1_061,obb8210
2013133682,obw2192,A2_342,hlu843
2013103164,xsx8886,A3_501,ayv8075!
2013101699,rck760,A4_765,sqt6414
2013138260,vbq530,A5_230,anp3938
2013152910,bfu9056,A6_820,btm5687!
2013146799,hkb8354,A7_391,nia7367
2013105809,esn83916,A8_973,avr7697
2013166968,ney7965,A9_395,wgw2486
2013129065,obb8210,A10_844,ltu6628
2013170575,hlu843,A11_500,yzx4436
2013177535,ayv8075!,B12_392,ekp2439
2013133551,sqt6414,B13_669,hdo6363
2013162332,anp3938,B14_042,uls9783
2013165713,btm5687!,B15_949,dzl3863!
2013151750,nia7367,B16_419,iei2559
2013138446,avr7697,B17_779,bqm9087
2013115007,wgw2486,B18_230,acv9932
2013139461,ltu6628,B19_204,ccp34427
2013142858,yzx4436,B20_367,xbp574
2013128276,ekp2439,C21_984,gns7184
2013134398,hdo6363,F22_581,vqa9445!
2013132104,uls9783,F23_174,obw2192
2013143150,dzl3863!,F24_452,xsx8886
2013167722,iei2559,F25_703,rck760
2013105518,bqm9087,G26_351,vbq530
2013124035,acv9932,G27_058,bfu9056
2013109490,ccp34427,C28_360,hkb8354
2013132416,xbp574,F29_127,esn83916
2013121765,gns7184,E30_654,ney7965
2013122190,vqa9445!,E31_810,obb8210
2013168310,obw2192,E32_263,hlu843
2013170387,xsx8886,E33_759,ayv8075!
2013178776,rck760,E34_582,sqt6414
2013163599,vbq530,E35_731,anp3938
2013136247,bfu9056,T37_647,btm5687!
2013149411,hkb8354,T37_840,nia7367
2013137905,esn83916,S38_687,avr7697
2013108605,ney7965,S39_367,wgw2486
2013147939,obb8210,C40_567,ltu6628
2013137471,hlu843,C41_841,yzx4436
2013113791,ayv8075!,C42_846,ekp2439
2013175382,sqt6414,C43_683,hdo6363
2013168711,anp3938,G44_264,uls9783
2013179328,btm5687!,F45_106,obb8210
2013106828,nia7367,K46_069,hlu843
2013162044,avr7697,L47_776,ayv8075!
2013176360,wgw2486,L48_481,sqt6414
2013155291,ltu6628,H49_410,anp3938
2013120905,yzx4436,K50_203,btm5687!
2013136693,ekp2439,U51_734,nia7367
2013128663,hdo6363,M52_792,avr7697
2013108107,uls9783,X53_108,wgw2486
2013171516,dzl3863!,S54_716,ltu6628
2013115914,iei2559,B55_832,yzx4436
2013135371,bqm9087,U56_185,ekp2439
2013165397,acv9932,L57_760,hdo6363
2013115626,ccp34427,L58_315,uls9783
2013149281,xbp574,L59_875,dzl3863!
2013168793,gns7184,L60_058,iei2559
2013178222,vqa9445!,G61_008,bqm9087
2013151759,obw2192,G62_255,acv9932
2013169413,xsx8886,E63_334,ccp34427
2013135407,rck760,H64_340,xbp574
2013138090,vbq530,H64_182,gns7184
2013162504,bfu9056,H66_510,vqa9445!
2013151735,hkb8354,H67_984,obw2192
2013170119,esn83916,H68_179,xsx8886
2013125058,ney7965,S69_902,rck760
2013139798,obb8210,,
2013142003,hlu843,,
2013144833,ayv8075!,,
2013132560,sqt6414,,
2013164457,anp3938,,
2013164765,btm5687!,,
2013157421,nia7367,,
2013117075,avr7697,,
2013118129,wgw2486,,
2013144839,ltu6628,,
2013163836,yzx4436,,
2013127914,ekp2439,,
2013104621,hdo6363,,
2013180001,uls9783,,
2013152950,dzl3863!,,
2013149376,iei2559,,
2013105469,bqm9087,,
2013100315,acv9932,,
2013163492,ccp34427,,
2013116652,xbp574,,
2013136769,gns7184,,
2013111078,vqa9445!,,
2013157260,obw2192,,
2013133250,xsx8886,,
2013138648,rck760,,
2013128643,vbq530,,
2013147208,bfu9056,,
2013105158,hkb8354,,
2013172857,esn83916,,
2013106177,ney7965,,
2013160563,obb8210,,
2013134135,hlu843,,
2013111976,ayv8075!,,
2013118695,sqt6414,,
2013148397,anp3938,,
2013108648,btm5687!,,
2013153964,nia7367,,
2013100593,avr7697,,
2013113315,wgw2486,,
2013146464,ltu6628,,
2013121988,yzx4436,,
2013136716,ekp2439,,
2013147341,hdo6363,,
2013162637,uls9783,,
2013175118,dzl3863!,,
2013171990,iei2559,,
2013109789,bqm9087,,
2013163493,acv9932,,
2013134406,ccp34427,,
2013173522,xbp574,,
2013163448,gns7184,,
2013104980,vqa9445!,,
2013114998,obw2192,,
2013125002,xsx8886,,
2013170951,rck760,,
2013153376,vbq530,,
2013107710,bfu9056,,
2013106886,hkb8354,,
2013131867,esn83916,,
2013160110,ney7965,,
2013139405,obb8210,,
2013168573,hlu843,,
2013159007,ayv8075!,,
2013174244,sqt6414,,
2013172825,anp3938,,
2013176141,btm5687!,,
2013101430,nia7367,,
2013171133,avr7697,,
2013167921,wgw2486,,
2013145899,ltu6628,,
2013140735,yzx4436,,
2013139397,ekp2439,,
2013140950,hdo6363,,
2013154630,uls9783,,
2013164327,dzl3863!,,
2013112406,iei2559,,
2013151637,bqm9087,,
2013147861,acv9932,,
2013111462,ccp34427,,
2013179291,xbp574,,
2013136300,gns7184,,
2013115058,vqa9445!,,
2013110836,obw2192,,
2013145959,xsx8886,,
2013112689,rck760,,
2013126542,vbq530,,
2013122271,bfu9056,,
2013126721,hkb8354,,
2013156878,esn83916,,
2013170519,ney7965,,
2013105246,obb8210,,
2013148405,hlu843,,
2013146173,ayv8075!,,
2013134291,sqt6414,,
2013146930,anp3938,,
2013180028,btm5687!,,
2013158225,nia7367,,
2013137206,avr7697,,
2013120730,wgw2486,,
2013161791,ltu6628,,
2013142919,yzx4436,,
2013174930,ekp2439,,
2013100399,hdo6363,,
2013111360,uls9783,,
2013107203,dzl3863!,,
2013162635,iei2559,,
2013100448,bqm9087,,
2013116393,acv9932,,
2013167201,ccp34427,,
2013162004,xbp574,,
2013148403,gns7184,,
2013127284,vqa9445!,,
2013177840,obw2192,,
2013102417,xsx8886,,
2013102620,rck760,,
2013144632,vbq530,,
2013178121,bfu9056,,
2013118916,hkb8354,,
2013149616,esn83916,,
2013177495,ney7965,,
2013137651,obb8210,,
2013138669,hlu843,,
2013125705,ayv8075!,,
2013146112,sqt6414,,
2013169663,anp3938,,
2013148820,btm5687!,,
2013134927,nia7367,,
2013121803,avr7697,,
2013133809,wgw2486,,
2013124869,ltu6628,,
2013117008,yzx4436,,
2013141684,ekp2439,,
2013168847,hdo6363,,
2013140873,uls9783,,
2013130344,dzl3863!,,
2013161973,iei2559,,
2013135613,bqm9087,,
2013128095,acv9932,,
2013161869,ccp34427,,
2013128175,xbp574,,
2013123231,gns7184,,
2013116505,vqa9445!,,
2013147129,obw2192,,
2013130291,xsx8886,,
