StudentID,StudentName,Grade,IncomeQuintile,StudentLoan,StudentPassword,English,Chinese,ComputerSkills,Mon,Tue,Wed,Thu,Fri
2013146722,우심곤,47,8,3,vqa9445!,TOEIC 940,,컴퓨터활용능력,,화,,,금
2013133682,소명욱,74,3,6,obw2192,,HSK 5급,,,,,목,금
2013103164,하새탁,56,5,2,xsx8886,,,,,화,수,목,
2013101699,소전휘,28,1,1,rck760,,,,월,,수,,
2013138260,공재별,45,8,2,vbq530,TOEIC 820,,,월,화,,,
2013152910,원언안,85,1,3,bfu9056,,,,월,,,,금
2013146799,엄두연,8,6,3,hkb8354,,,컴퓨터활용능력,월,,수,,
2013105809,최익판,18,7,3,esn83916,,HSK 6급,컴퓨터활용능력,,,수,,
2013166968,박나비,76,6,4,ney7965,,HSK 5급,,,화,,,
2013129065,임누태,86,5,4,obb8210,,,,,화,,,금
2013170575,심황소,67,5,0,hlu843,,,컴퓨터활용능력,월,,수,,
2013177535,우래담,51,1,7,ayv8075!,TOEIC 970,HSK 4급,,월,화,수,,
2013133551,민위조,69,8,1,sqt6414,,,,,,,목,금
2013162332,채다준,1,6,6,anp3938,TOEIC 925,,,,,수,목,금
2013165713,민랑만,5,5,1,btm5687!,,,컴퓨터활용능력,,화,,,
2013151750,오희자,91,6,4,nia7367,,HSK 5급,,월,,,목,
2013138446,고우신,89,5,7,avr7697,,,,월,,,,
2013115007,안솔빈,40,6,7,wgw2486,TOEIC 870,,,,,,목,금
2013139461,임해설,54,4,0,ltu6628,,,,,,수,목,금
2013142858,노기혜,18,3,3,yzx4436,,,,,,,목,
2013128276,공기명,79,7,6,ekp2439,,,,월,화,,,
2013134398,유춘나,53,1,4,hdo6363,,,,,,수,,
2013132104,송문산,84,1,3,uls9783,,,,,,,목,금
2013143150,방강권,84,6,0,dzl3863!,,,컴퓨터활용능력,,,수,,금
2013167722,윤오배,84,1,7,iei2559,,,,,,,목,금
2013105518,은새안,81,8,2,bqm9087,,,,월,,수,,
2013124035,유별백,34,7,2,acv9932,,,,,,,목,
2013109490,위늘여,21,2,0,ccp34427,,,,,,수,,
2013132416,전완흥,28,4,0,xbp574,TOEIC 660,HSK 5급,,,화,,,
2013121765,길미담,35,6,6,gns7184,,,,,,,목,금
2013122190,장하제,45,7,0,vqa9445!,,,,월,화,,,
2013168310,정운려,88,3,3,obw2192,,HSK 6급,컴퓨터활용능력,,화,수,,
2013170387,홍채대,67,3,4,xsx8886,TOEIC 970,HSK 5급,,월,화,수,목,금
2013178776,윤세노,92,8,1,rck760,,,,,,수,,
2013163599,도동선,43,2,1,vbq530,,,,월,,수,목,
2013136247,여관미,90,8,3,bfu9056,,,,,화,,,
2013149411,왕라복,91,2,3,hkb8354,,,,월,화,수,,
2013137905,주언항,64,1,3,esn83916,,,,월,화,,,
2013108605,박형건,40,1,5,ney7965,,HSK 6급,,월,,,,
2013147939,주신태,6,1,2,obb8210,,HSK 5급,,,,수,,
2013137471,남반연,70,1,4,hlu843,,,,,화,,,
2013113791,유채울,57,3,7,ayv8075!,,,,,화,,,
2013175382,한로효,40,3,2,sqt6414,,HSK 4급,,,,수,목,
2013168711,성신안,49,1,1,anp3938,,,,,화,,,
2013179328,조춘별,70,4,7,btm5687!,,,,월,,,,
2013106828,배악잔,29,1,4,nia7367,TOEIC 875,,컴퓨터활용능력,,화,,,금
2013162044,장대준,82,5,1,avr7697,TOEIC 955,HSK 5급,,,화,,,금
2013176360,진강온,69,1,4,wgw2486,,,,월,,,,금
2013155291,방개무,19,3,2,ltu6628,,,,,화,수,,
2013120905,금제연,31,8,5,yzx4436,,,,월,,수,목,
2013136693,지서채,4,1,1,ekp2439,,,,,화,,목,
2013128663,정해옥,73,2,7,hdo6363,,,,월,,수,목,금
2013108107,원악휘,99,5,5,uls9783,,,,,,,목,
2013171516,추연장,15,6,1,dzl3863!,TOEIC 990,,,,화,수,,금
2013115914,송을란,76,2,5,iei2559,,,컴퓨터활용능력,,화,,목,금
2013135371,설운완,75,8,2,bqm9087,,,,,화,,,
2013165397,황잔광,17,5,3,acv9932,,,,,화,,,
2013115626,마두노,41,1,2,ccp34427,TOEIC 915,,,월,,,,
2013149281,표요근,21,2,6,xbp574,,,,,화,수,,
2013168793,표숙남,87,1,3,gns7184,,HSK 5급,,,,,목,
2013178222,소솔경,68,5,5,vqa9445!,,,,,화,,,
2013151759,채회승,40,5,4,obw2192,,,,월,화,수,,금
2013169413,주범희,6,3,1,xsx8886,,HSK 6급,,,,수,,
2013135407,남솔잔,28,1,7,rck760,,,,월,,수,목,
2013138090,전흥여,8,4,1,vbq530,,,컴퓨터활용능력,월,,수,목,금
2013162504,장여묵,28,1,2,bfu9056,,,,,,수,목,
2013151735,구애요,42,6,5,hkb8354,,,,월,,수,,
2013170119,박요비,15,4,3,esn83916,TOEIC 980,,,,,,목,
2013125058,우빛나,26,5,5,ney7965,,,컴퓨터활용능력,월,,,,금
2013139798,오장재,47,3,2,obb8210,,,,,,수,,금
2013142003,주광흥,75,3,1,hlu843,,,,,화,수,목,
2013144833,현홍엄,12,2,2,ayv8075!,,HSK 5급,,,,,목,
2013132560,여우웅,3,8,6,sqt6414,TOEIC 965,,,월,,수,,
2013164457,석동문,3,8,6,anp3938,,,,월,,,,금
2013164765,강손덕,60,6,2,btm5687!,,,,월,화,,,금
2013157421,김석의,94,5,2,nia7367,,,,,화,수,,
2013117075,오형우,87,3,6,avr7697,,,,,,수,목,
2013118129,구산솜,96,6,3,wgw2486,,HSK 6급,,,,수,목,
2013144839,모손상,39,1,3,ltu6628,,HSK 5급,컴퓨터활용능력,,,수,목,
2013163836,윤용영,27,1,6,yzx4436,,,,,,수,목,금
2013127914,조바주,49,8,0,ekp2439,,,,월,화,,,
2013104621,현선향,62,5,7,hdo6363,,HSK 4급,,,,수,,금
2013180001,최항영,99,3,1,uls9783,,,,월,화,,,금
2013152950,박윤마,42,2,3,dzl3863!,TOEIC 900,,,,화,,,
2013149376,원섭재,81,6,7,iei2559,,,,,화,수,,
2013105469,노누장,31,2,5,bqm9087,,HSK 5급,,월,,수,,
2013100315,송예판,91,1,6,acv9932,,,,월,,,,
2013163492,채반담,80,2,5,ccp34427,TOEIC 975,,,,,수,,
2013116652,명반고,21,5,0,xbp574,,,컴퓨터활용능력,월,화,수,목,금
2013136769,방다란,60,5,3,gns7184,,,컴퓨터활용능력,월,화,,목,
2013111078,엄영나,98,7,7,vqa9445!,,,,,,,목,
2013157260,원해상,90,5,1,obw2192,,,,,화,수,,
2013133250,하비복,1,4,2,xsx8886,,,,,화,,,금
2013138648,장영일,28,3,1,rck760,,,,,,수,,
2013128643,류실신,63,1,7,vbq530,,,,월,,수,,
2013147208,심희휘,76,7,2,bfu9056,,,,,,,,금
2013105158,장강누,5,8,6,hkb8354,,,,월,화,,,
2013172857,신형판,54,4,0,esn83916,,,컴퓨터활용능력,,,,,금
2013106177,손수윤,45,7,5,ney7965,,HSK 5급,,월,화,,,금
2013160563,강루곤,92,8,6,obb8210,,,,,화,,목,
2013134135,차설부,68,2,7,hlu843,TOEIC 875,,,,화,수,목,
2013111976,명월창,21,5,4,ayv8075!,TOEIC 905,HSK 6급,,월,화,,목,금
2013118695,지개슬,68,1,3,sqt6414,,HSK 5급,컴퓨터활용능력,월,,,목,금
2013148397,민월연,2,3,2,anp3938,,,컴퓨터활용능력,월,화,수,,금
2013108648,방우영,14,1,4,btm5687!,,,,월,,,,금
2013153964,조옥찬,18,4,5,nia7367,,,,월,화,,,
2013100593,여근잔,85,3,2,avr7697,,,,월,화,수,,
2013113315,송성휴,21,8,2,wgw2486,,,,월,,수,목,
2013146464,송반춘,11,2,2,ltu6628,TOEIC 895,HSK 6급,,월,화,,,
2013121988,노세숙,97,8,7,yzx4436,,HSK 5급,컴퓨터활용능력,월,화,수,,금
2013136716,공악형,22,5,7,ekp2439,,,컴퓨터활용능력,,화,,,
2013147341,박일후,20,2,5,hdo6363,,,,,,,,금
2013162637,노석로,3,2,5,uls9783,TOEIC 950,HSK 4급,,,,수,,금
2013175118,조사안,84,5,1,dzl3863!,,,컴퓨터활용능력,월,,수,,
2013171990,남열은,4,3,7,iei2559,,,,월,,,,
2013109789,권원안,20,7,7,bqm9087,TOEIC 440,,,,,수,,
2013163493,이구두,45,1,0,acv9932,,HSK 5급,,월,,수,,
2013134406,남웅로,52,4,5,ccp34427,,,컴퓨터활용능력,,,,,금
2013173522,정섭효,88,4,0,xbp574,,,,월,,수,,
2013163448,전현웅,54,5,0,gns7184,TOEIC 795,,,,,,,금
2013104980,길탐백,62,8,7,vqa9445!,,,,,,,,금
2013114998,맹사심,58,4,0,obw2192,,,,,,수,목,금
2013125002,민택영,46,1,0,xsx8886,,,,,,수,,금
2013170951,은엄춘,93,1,4,rck760,,,,,화,수,,금
2013153376,맹아실,18,8,3,vbq530,TOEIC 980,,,,화,,,
2013107710,하준시,73,3,6,bfu9056,,,,,,,,금
2013106886,왕타별,86,8,3,hkb8354,,,컴퓨터활용능력,,,,목,
2013131867,반나호,55,3,0,esn83916,,,,,화,,,금
2013160110,전울대,72,6,6,ney7965,,,,,,,,금
2013139405,여욱요,92,7,7,obb8210,,HSK 5급,,,,,목,금
2013168573,최언사,82,3,3,hlu843,,,,월,,,,금
2013159007,조백송,94,4,4,ayv8075!,,,,,,,목,
2013174244,왕은솔,77,4,2,sqt6414,,HSK 6급,,월,화,수,목,
2013172825,고동복,34,1,0,anp3938,,,,,,,목,
2013176141,유황범,89,2,1,btm5687!,TOEIC 850,HSK 5급,컴퓨터활용능력,,,,목,금
2013101430,신가근,91,6,4,nia7367,,,,월,,수,,금
2013171133,문호대,54,3,5,avr7697,,,,월,화,수,,
2013167921,안길태,21,8,5,wgw2486,,,,월,,수,목,
2013145899,소솜을,51,2,7,ltu6628,,HSK 5급,,,,수,,
2013140735,양모타,51,5,1,yzx4436,,,,월,화,수,,
2013139397,선솜슬,30,2,5,ekp2439,,,,월,화,수,,
2013140950,윤솜자,79,5,4,hdo6363,,,,월,화,,,금
2013154630,강랑랑,10,4,7,uls9783,,,,,,,,금
2013164327,최위향,14,1,2,dzl3863!,TOEIC 960,,,월,,,목,
2013112406,강희관,48,5,4,iei2559,,HSK 6급,,,화,수,,
2013151637,반래수,62,7,5,bqm9087,,HSK 5급,,,,수,목,
2013147861,고중근,11,2,5,acv9932,,,,,,,,금
2013111462,임택란,70,2,6,ccp34427,TOEIC 970,,,,,수,,금
2013179291,장형학,24,2,7,xbp574,,HSK 4급,컴퓨터활용능력,,,,목,
2013136300,마곤순,27,1,7,gns7184,,,,월,,,,
2013115058,여용사,97,4,0,vqa9445!,,,,,화,수,,금
2013110836,황호화,65,4,5,obw2192,,,,,,,목,
2013145959,양인심,95,6,4,xsx8886,,HSK 5급,,,,,,금
2013112689,양묵흥,17,2,7,rck760,,,,,화,,목,
2013126542,임근회,34,8,2,vbq530,,,,월,화,,,
2013122271,허노수,92,4,6,bfu9056,,,,,,수,,
2013126721,모란항,74,6,4,hkb8354,,,,월,,수,,
2013156878,왕지새,8,3,1,esn83916,,,컴퓨터활용능력,,,,,금
2013170519,엄범조,88,6,2,ney7965,,,,,화,,,금
2013105246,금슬타,30,8,4,obb8210,,,,,,,목,금
2013148405,하전재,41,5,6,hlu843,TOEIC 880,,,,,수,,
2013146173,성형무,50,4,7,ayv8075!,TOEIC 950,,,월,,,목,
2013134291,장이미,51,5,0,sqt6414,,,,,,수,,금
2013146930,은여운,54,8,4,anp3938,,,,월,,,목,
2013180028,추남재,17,6,2,btm5687!,,,,월,화,수,,금
2013158225,장로휴,7,1,6,nia7367,,HSK 5급,,월,,,,
2013137206,설타더,18,5,2,avr7697,,,,,,수,목,금
2013120730,허서혜,7,1,1,wgw2486,,,컴퓨터활용능력,,,,목,
2013161791,임호솔,51,6,5,ltu6628,TOEIC 965,HSK 6급,,월,,,,금
2013142919,서현지,9,6,1,yzx4436,,HSK 5급,,월,,수,목,금
2013174930,금지시,96,8,6,ekp2439,,,,월,,,,
2013100399,현황제,58,6,2,hdo6363,,,컴퓨터활용능력,,,,목,금
2013111360,주택홍,65,8,1,uls9783,TOEIC 935,,,월,,,,
2013107203,권찬전,61,4,7,dzl3863!,,,,,,,,금
2013162635,마가희,25,5,6,iei2559,,,,월,화,수,,
2013100448,반노훈,57,7,7,bqm9087,,HSK 6급,,,화,,,
2013116393,왕홍태,52,2,6,acv9932,,HSK 5급,,,화,,,
2013167201,민월치,10,6,4,ccp34427,,,,,화,,목,
2013162004,소종인,90,3,6,xbp574,,,,월,,,,금
2013148403,문혁소,32,7,3,gns7184,,HSK 4급,,월,화,,목,금
2013127284,송경휴,31,3,1,vqa9445!,,,,월,,,,
2013177840,김근덕,18,5,6,obw2192,,,컴퓨터활용능력,,,,,금
